Datetime,BE,FR,Date,gasdate,Date_gas,CEGH VTP,CZ VTP,ETF,NBP,PEG,PVB,THE,TTF,ZTP,EUA Prices
2015-01-05 00:00:00,36.56,36.56,2015-01-05,2015-01-04,,,,,,,,,,,
2015-01-05 01:00:00,34.94,34.94,2015-01-05,2015-01-04,,,,,,,,,,,
2015-01-05 02:00:00,32.19,32.19,2015-01-05,2015-01-04,,,,,,,,,,,
2015-01-05 03:00:00,23.53,23.53,2015-01-05,2015-01-04,,,,,,,,,,,
2015-01-05 04:00:00,22.92,22.92,2015-01-05,2015-01-04,,,,,,,,,,,
2015-01-05 05:00:00,34.26,34.26,2015-01-05,2015-01-04,,,,,,,,,,,
2015-01-05 06:00:00,44.28,44.28,2015-01-05,2015-01-05,,,,,,,,,,,
2015-01-05 07:00:00,50.38,50.38,2015-01-05,2015-01-05,,,,,,,,,,,
2015-01-05 08:00:00,53.79,53.79,2015-01-05,2015-01-05,,,,,,,,,,,
2015-01-05 09:00:00,52.03,52.03,2015-01-05,2015-01-05,,,,,,,,,,,
2015-01-05 10:00:00,50.6,50.6,2015-01-05,2015-01-05,,,,,,,,,,,
2015-01-05 11:00:00,50.5,50.5,2015-01-05,2015-01-05,,,,,,,,,,,
2015-01-05 12:00:00,48.45,48.45,2015-01-05,2015-01-05,,,,,,,,,,,
2015-01-05 13:00:00,44.54,44.54,2015-01-05,2015-01-05,,,,,,,,,,,
2015-01-05 14:00:00,42.0,42.0,2015-01-05,2015-01-05,,,,,,,,,,,
2015-01-05 15:00:00,43.1,43.1,2015-01-05,2015-01-05,,,,,,,,,,,
2015-01-05 16:00:00,46.7,46.7,2015-01-05,2015-01-05,,,,,,,,,,,
2015-01-05 17:00:00,56.78,56.78,2015-01-05,2015-01-05,,,,,,,,,,,
2015-01-05 18:00:00,58.84,58.84,2015-01-05,2015-01-05,,,,,,,,,,,
2015-01-05 19:00:00,53.6,53.6,2015-01-05,2015-01-05,,,,,,,,,,,
2015-01-05 20:00:00,46.9,46.9,2015-01-05,2015-01-05,,,,,,,,,,,
2015-01-05 21:00:00,44.58,44.58,2015-01-05,2015-01-05,,,,,,,,,,,
2015-01-05 22:00:00,48.7,48.7,2015-01-05,2015-01-05,,,,,,,,,,,
2015-01-05 23:00:00,46.06,46.06,2015-01-05,2015-01-05,,,,,,,,,,,
2015-01-06 00:00:00,45.56,45.56,2015-01-06,2015-01-05,,,,,,,,,,,
2015-01-06 01:00:00,40.28,40.28,2015-01-06,2015-01-05,,,,,,,,,,,
2015-01-06 02:00:00,39.2,39.2,2015-01-06,2015-01-05,,,,,,,,,,,
2015-01-06 03:00:00,36.22,36.22,2015-01-06,2015-01-05,,,,,,,,,,,
2015-01-06 04:00:00,34.04,34.04,2015-01-06,2015-01-05,,,,,,,,,,,
2015-01-06 05:00:00,38.58,38.58,2015-01-06,2015-01-05,,,,,,,,,,,
2015-01-06 06:00:00,43.32,43.32,2015-01-06,2015-01-06,,,,,,,,,,,
2015-01-06 07:00:00,50.0,50.0,2015-01-06,2015-01-06,,,,,,,,,,,
2015-01-06 08:00:00,49.53,49.53,2015-01-06,2015-01-06,,,,,,,,,,,
2015-01-06 09:00:00,50.87,50.87,2015-01-06,2015-01-06,,,,,,,,,,,
2015-01-06 10:00:00,50.86,50.86,2015-01-06,2015-01-06,,,,,,,,,,,
2015-01-06 11:00:00,50.17,50.17,2015-01-06,2015-01-06,,,,,,,,,,,
2015-01-06 12:00:00,47.97,47.97,2015-01-06,2015-01-06,,,,,,,,,,,
2015-01-06 13:00:00,45.2,45.2,2015-01-06,2015-01-06,,,,,,,,,,,
2015-01-06 14:00:00,41.45,41.45,2015-01-06,2015-01-06,,,,,,,,,,,
2015-01-06 15:00:00,40.08,40.08,2015-01-06,2015-01-06,,,,,,,,,,,
2015-01-06 16:00:00,43.62,43.62,2015-01-06,2015-01-06,,,,,,,,,,,
2015-01-06 17:00:00,48.55,48.55,2015-01-06,2015-01-06,,,,,,,,,,,
2015-01-06 18:00:00,52.32,52.32,2015-01-06,2015-01-06,,,,,,,,,,,
2015-01-06 19:00:00,53.1,53.1,2015-01-06,2015-01-06,,,,,,,,,,,
2015-01-06 20:00:00,48.78,48.78,2015-01-06,2015-01-06,,,,,,,,,,,
2015-01-06 21:00:00,43.91,43.91,2015-01-06,2015-01-06,,,,,,,,,,,
2015-01-06 22:00:00,44.58,44.58,2015-01-06,2015-01-06,,,,,,,,,,,
2015-01-06 23:00:00,45.73,45.73,2015-01-06,2015-01-06,,,,,,,,,,,
2015-01-07 00:00:00,40.0,40.0,2015-01-07,2015-01-06,,,,,,,,,,,
2015-01-07 01:00:00,36.69,36.69,2015-01-07,2015-01-06,,,,,,,,,,,
2015-01-07 02:00:00,37.45,37.45,2015-01-07,2015-01-06,,,,,,,,,,,
2015-01-07 03:00:00,32.08,32.08,2015-01-07,2015-01-06,,,,,,,,,,,
2015-01-07 04:00:00,29.48,29.48,2015-01-07,2015-01-06,,,,,,,,,,,
2015-01-07 05:00:00,34.94,34.94,2015-01-07,2015-01-06,,,,,,,,,,,
2015-01-07 06:00:00,41.74,41.74,2015-01-07,2015-01-07,,,,,,,,,,,
2015-01-07 07:00:00,49.17,49.17,2015-01-07,2015-01-07,,,,,,,,,,,
2015-01-07 08:00:00,54.44,54.44,2015-01-07,2015-01-07,,,,,,,,,,,
2015-01-07 09:00:00,50.99,50.99,2015-01-07,2015-01-07,,,,,,,,,,,
2015-01-07 10:00:00,50.0,50.0,2015-01-07,2015-01-07,,,,,,,,,,,
2015-01-07 11:00:00,51.22,51.22,2015-01-07,2015-01-07,,,,,,,,,,,
2015-01-07 12:00:00,50.15,50.15,2015-01-07,2015-01-07,,,,,,,,,,,
2015-01-07 13:00:00,51.46,51.46,2015-01-07,2015-01-07,,,,,,,,,,,
2015-01-07 14:00:00,50.88,50.88,2015-01-07,2015-01-07,,,,,,,,,,,
2015-01-07 15:00:00,48.0,48.0,2015-01-07,2015-01-07,,,,,,,,,,,
2015-01-07 16:00:00,47.14,47.14,2015-01-07,2015-01-07,,,,,,,,,,,
2015-01-07 17:00:00,51.07,51.07,2015-01-07,2015-01-07,,,,,,,,,,,
2015-01-07 18:00:00,52.46,52.46,2015-01-07,2015-01-07,,,,,,,,,,,
2015-01-07 19:00:00,48.78,48.78,2015-01-07,2015-01-07,,,,,,,,,,,
2015-01-07 20:00:00,47.45,47.45,2015-01-07,2015-01-07,,,,,,,,,,,
2015-01-07 21:00:00,42.02,42.02,2015-01-07,2015-01-07,,,,,,,,,,,
2015-01-07 22:00:00,45.57,45.57,2015-01-07,2015-01-07,,,,,,,,,,,
2015-01-07 23:00:00,45.6,45.6,2015-01-07,2015-01-07,,,,,,,,,,,
2015-01-08 00:00:00,43.88,43.88,2015-01-08,2015-01-07,,,,,,,,,,,
2015-01-08 01:00:00,35.65,35.65,2015-01-08,2015-01-07,,,,,,,,,,,
2015-01-08 02:00:00,35.87,35.87,2015-01-08,2015-01-07,,,,,,,,,,,
2015-01-08 03:00:00,30.17,30.17,2015-01-08,2015-01-07,,,,,,,,,,,
2015-01-08 04:00:00,24.54,24.54,2015-01-08,2015-01-07,,,,,,,,,,,
2015-01-08 05:00:00,32.0,32.0,2015-01-08,2015-01-07,,,,,,,,,,,
2015-01-08 06:00:00,40.96,40.96,2015-01-08,2015-01-08,,,,,,,,,,,
2015-01-08 07:00:00,49.53,49.53,2015-01-08,2015-01-08,,,,,,,,,,,
2015-01-08 08:00:00,48.07,48.07,2015-01-08,2015-01-08,,,,,,,,,,,
2015-01-08 09:00:00,48.75,48.75,2015-01-08,2015-01-08,,,,,,,,,,,
2015-01-08 10:00:00,49.29,49.29,2015-01-08,2015-01-08,,,,,,,,,,,
2015-01-08 11:00:00,49.33,49.33,2015-01-08,2015-01-08,,,,,,,,,,,
2015-01-08 12:00:00,48.43,48.43,2015-01-08,2015-01-08,,,,,,,,,,,
2015-01-08 13:00:00,47.21,47.21,2015-01-08,2015-01-08,,,,,,,,,,,
2015-01-08 14:00:00,43.47,43.47,2015-01-08,2015-01-08,,,,,,,,,,,
2015-01-08 15:00:00,38.27,38.27,2015-01-08,2015-01-08,,,,,,,,,,,
2015-01-08 16:00:00,41.07,41.07,2015-01-08,2015-01-08,,,,,,,,,,,
2015-01-08 17:00:00,47.97,47.97,2015-01-08,2015-01-08,,,,,,,,,,,
2015-01-08 18:00:00,51.25,51.25,2015-01-08,2015-01-08,,,,,,,,,,,
2015-01-08 19:00:00,50.31,50.31,2015-01-08,2015-01-08,,,,,,,,,,,
2015-01-08 20:00:00,47.97,47.97,2015-01-08,2015-01-08,,,,,,,,,,,
2015-01-08 21:00:00,40.5,40.5,2015-01-08,2015-01-08,,,,,,,,,,,
2015-01-08 22:00:00,43.8,43.8,2015-01-08,2015-01-08,,,,,,,,,,,
2015-01-08 23:00:00,44.05,44.05,2015-01-08,2015-01-08,,,,,,,,,,,
2015-01-09 00:00:00,32.06,32.06,2015-01-09,2015-01-08,,,,,,,,,,,
2015-01-09 01:00:00,29.71,29.71,2015-01-09,2015-01-08,,,,,,,,,,,
2015-01-09 02:00:00,28.53,28.53,2015-01-09,2015-01-08,,,,,,,,,,,
2015-01-09 03:00:00,23.75,23.75,2015-01-09,2015-01-08,,,,,,,,,,,
2015-01-09 04:00:00,16.05,16.05,2015-01-09,2015-01-08,,,,,,,,,,,
2015-01-09 05:00:00,21.44,21.44,2015-01-09,2015-01-08,,,,,,,,,,,
2015-01-09 06:00:00,31.86,31.86,2015-01-09,2015-01-09,,,,,,,,,,,
2015-01-09 07:00:00,44.0,44.0,2015-01-09,2015-01-09,,,,,,,,,,,
2015-01-09 08:00:00,45.82,45.82,2015-01-09,2015-01-09,,,,,,,,,,,
2015-01-09 09:00:00,45.59,45.59,2015-01-09,2015-01-09,,,,,,,,,,,
2015-01-09 10:00:00,42.52,42.52,2015-01-09,2015-01-09,,,,,,,,,,,
2015-01-09 11:00:00,41.57,41.57,2015-01-09,2015-01-09,,,,,,,,,,,
2015-01-09 12:00:00,41.01,41.01,2015-01-09,2015-01-09,,,,,,,,,,,
2015-01-09 13:00:00,39.24,39.24,2015-01-09,2015-01-09,,,,,,,,,,,
2015-01-09 14:00:00,36.29,36.29,2015-01-09,2015-01-09,,,,,,,,,,,
2015-01-09 15:00:00,29.47,29.47,2015-01-09,2015-01-09,,,,,,,,,,,
2015-01-09 16:00:00,30.09,30.09,2015-01-09,2015-01-09,,,,,,,,,,,
2015-01-09 17:00:00,35.43,35.43,2015-01-09,2015-01-09,,,,,,,,,,,
2015-01-09 18:00:00,41.0,41.0,2015-01-09,2015-01-09,,,,,,,,,,,
2015-01-09 19:00:00,38.95,38.95,2015-01-09,2015-01-09,,,,,,,,,,,
2015-01-09 20:00:00,32.53,32.53,2015-01-09,2015-01-09,,,,,,,,,,,
2015-01-09 21:00:00,26.69,26.69,2015-01-09,2015-01-09,,,,,,,,,,,
2015-01-09 22:00:00,26.56,26.56,2015-01-09,2015-01-09,,,,,,,,,,,
2015-01-09 23:00:00,25.26,25.26,2015-01-09,2015-01-09,,,,,,,,,,,
2015-01-10 00:00:00,19.04,19.04,2015-01-10,2015-01-09,,,,,,,,,,,
2015-01-10 01:00:00,15.96,15.96,2015-01-10,2015-01-09,,,,,,,,,,,
2015-01-10 02:00:00,13.7,13.7,2015-01-10,2015-01-09,,,,,,,,,,,
2015-01-10 03:00:00,11.01,11.01,2015-01-10,2015-01-09,,,,,,,,,,,
2015-01-10 04:00:00,9.08,9.08,2015-01-10,2015-01-09,,,,,,,,,,,
2015-01-10 05:00:00,9.28,9.28,2015-01-10,2015-01-09,,,,,,,,,,,
2015-01-10 06:00:00,11.76,11.76,2015-01-10,2015-01-10,,,,,,,,,,,
2015-01-10 07:00:00,15.84,15.84,2015-01-10,2015-01-10,,,,,,,,,,,
2015-01-10 08:00:00,16.93,16.93,2015-01-10,2015-01-10,,,,,,,,,,,
2015-01-10 09:00:00,18.11,18.11,2015-01-10,2015-01-10,,,,,,,,,,,
2015-01-10 10:00:00,19.19,19.19,2015-01-10,2015-01-10,,,,,,,,,,,
2015-01-10 11:00:00,19.25,19.25,2015-01-10,2015-01-10,,,,,,,,,,,
2015-01-10 12:00:00,20.47,20.47,2015-01-10,2015-01-10,,,,,,,,,,,
2015-01-10 13:00:00,18.21,18.21,2015-01-10,2015-01-10,,,,,,,,,,,
2015-01-10 14:00:00,16.21,16.21,2015-01-10,2015-01-10,,,,,,,,,,,
2015-01-10 15:00:00,11.34,11.34,2015-01-10,2015-01-10,,,,,,,,,,,
2015-01-10 16:00:00,14.15,14.15,2015-01-10,2015-01-10,,,,,,,,,,,
2015-01-10 17:00:00,18.64,18.64,2015-01-10,2015-01-10,,,,,,,,,,,
2015-01-10 18:00:00,24.45,24.45,2015-01-10,2015-01-10,,,,,,,,,,,
2015-01-10 19:00:00,27.75,27.75,2015-01-10,2015-01-10,,,,,,,,,,,
2015-01-10 20:00:00,24.56,24.56,2015-01-10,2015-01-10,,,,,,,,,,,
2015-01-10 21:00:00,18.75,18.75,2015-01-10,2015-01-10,,,,,,,,,,,
2015-01-10 22:00:00,25.81,25.81,2015-01-10,2015-01-10,,,,,,,,,,,
2015-01-10 23:00:00,27.67,27.67,2015-01-10,2015-01-10,,,,,,,,,,,
2015-01-11 00:00:00,26.95,26.95,2015-01-11,2015-01-10,,,,,,,,,,,
2015-01-11 01:00:00,24.22,24.22,2015-01-11,2015-01-10,,,,,,,,,,,
2015-01-11 02:00:00,27.08,27.08,2015-01-11,2015-01-10,,,,,,,,,,,
2015-01-11 03:00:00,20.91,20.91,2015-01-11,2015-01-10,,,,,,,,,,,
2015-01-11 04:00:00,13.09,13.09,2015-01-11,2015-01-10,,,,,,,,,,,
2015-01-11 05:00:00,16.41,16.41,2015-01-11,2015-01-10,,,,,,,,,,,
2015-01-11 06:00:00,18.72,18.72,2015-01-11,2015-01-11,,,,,,,,,,,
2015-01-11 07:00:00,17.21,17.21,2015-01-11,2015-01-11,,,,,,,,,,,
2015-01-11 08:00:00,21.2,21.2,2015-01-11,2015-01-11,,,,,,,,,,,
2015-01-11 09:00:00,25.96,25.96,2015-01-11,2015-01-11,,,,,,,,,,,
2015-01-11 10:00:00,28.83,28.83,2015-01-11,2015-01-11,,,,,,,,,,,
2015-01-11 11:00:00,30.73,30.73,2015-01-11,2015-01-11,,,,,,,,,,,
2015-01-11 12:00:00,31.8,31.8,2015-01-11,2015-01-11,,,,,,,,,,,
2015-01-11 13:00:00,30.37,30.37,2015-01-11,2015-01-11,,,,,,,,,,,
2015-01-11 14:00:00,23.39,23.39,2015-01-11,2015-01-11,,,,,,,,,,,
2015-01-11 15:00:00,12.7,12.7,2015-01-11,2015-01-11,,,,,,,,,,,
2015-01-11 16:00:00,18.49,18.49,2015-01-11,2015-01-11,,,,,,,,,,,
2015-01-11 17:00:00,25.81,25.81,2015-01-11,2015-01-11,,,,,,,,,,,
2015-01-11 18:00:00,35.48,35.48,2015-01-11,2015-01-11,,,,,,,,,,,
2015-01-11 19:00:00,42.0,42.0,2015-01-11,2015-01-11,,,,,,,,,,,
2015-01-11 20:00:00,36.08,36.08,2015-01-11,2015-01-11,,,,,,,,,,,
2015-01-11 21:00:00,31.8,31.8,2015-01-11,2015-01-11,,,,,,,,,,,
2015-01-11 22:00:00,33.0,33.0,2015-01-11,2015-01-11,,,,,,,,,,,
2015-01-11 23:00:00,32.19,32.19,2015-01-11,2015-01-11,,,,,,,,,,,
2015-01-12 00:00:00,27.59,27.59,2015-01-12,2015-01-11,,,,,,,,,,,
2015-01-12 01:00:00,26.81,26.81,2015-01-12,2015-01-11,,,,,,,,,,,
2015-01-12 02:00:00,25.75,25.75,2015-01-12,2015-01-11,,,,,,,,,,,
2015-01-12 03:00:00,17.86,17.86,2015-01-12,2015-01-11,,,,,,,,,,,
2015-01-12 04:00:00,15.16,15.16,2015-01-12,2015-01-11,,,,,,,,,,,
2015-01-12 05:00:00,19.84,19.84,2015-01-12,2015-01-11,,,,,,,,,,,
2015-01-12 06:00:00,33.98,33.98,2015-01-12,2015-01-12,,,,,,,,,,,
2015-01-12 07:00:00,45.51,45.51,2015-01-12,2015-01-12,,,,,,,,,,,
2015-01-12 08:00:00,48.06,48.06,2015-01-12,2015-01-12,,,,,,,,,,,
2015-01-12 09:00:00,46.2,46.2,2015-01-12,2015-01-12,,,,,,,,,,,
2015-01-12 10:00:00,45.0,45.0,2015-01-12,2015-01-12,,,,,,,,,,,
2015-01-12 11:00:00,45.38,45.38,2015-01-12,2015-01-12,,,,,,,,,,,
2015-01-12 12:00:00,42.49,42.49,2015-01-12,2015-01-12,,,,,,,,,,,
2015-01-12 13:00:00,41.53,41.53,2015-01-12,2015-01-12,,,,,,,,,,,
2015-01-12 14:00:00,36.31,36.31,2015-01-12,2015-01-12,,,,,,,,,,,
2015-01-12 15:00:00,32.37,32.37,2015-01-12,2015-01-12,,,,,,,,,,,
2015-01-12 16:00:00,33.53,33.53,2015-01-12,2015-01-12,,,,,,,,,,,
2015-01-12 17:00:00,41.31,41.31,2015-01-12,2015-01-12,,,,,,,,,,,
2015-01-12 18:00:00,47.89,47.89,2015-01-12,2015-01-12,,,,,,,,,,,
2015-01-12 19:00:00,48.42,48.42,2015-01-12,2015-01-12,,,,,,,,,,,
2015-01-12 20:00:00,41.89,41.89,2015-01-12,2015-01-12,,,,,,,,,,,
2015-01-12 21:00:00,35.24,35.24,2015-01-12,2015-01-12,,,,,,,,,,,
2015-01-12 22:00:00,37.44,37.44,2015-01-12,2015-01-12,,,,,,,,,,,
2015-01-12 23:00:00,35.0,35.0,2015-01-12,2015-01-12,,,,,,,,,,,
2015-01-13 00:00:00,33.04,33.04,2015-01-13,2015-01-12,,,,,,,,,,,
2015-01-13 01:00:00,26.56,26.56,2015-01-13,2015-01-12,,,,,,,,,,,
2015-01-13 02:00:00,26.29,26.29,2015-01-13,2015-01-12,,,,,,,,,,,
2015-01-13 03:00:00,17.44,17.44,2015-01-13,2015-01-12,,,,,,,,,,,
2015-01-13 04:00:00,11.26,11.26,2015-01-13,2015-01-12,,,,,,,,,,,
2015-01-13 05:00:00,22.29,22.29,2015-01-13,2015-01-12,,,,,,,,,,,
2015-01-13 06:00:00,33.78,33.78,2015-01-13,2015-01-13,,,,,,,,,,,
2015-01-13 07:00:00,44.94,44.94,2015-01-13,2015-01-13,,,,,,,,,,,
2015-01-13 08:00:00,49.04,49.04,2015-01-13,2015-01-13,,,,,,,,,,,
2015-01-13 09:00:00,49.64,49.64,2015-01-13,2015-01-13,,,,,,,,,,,
2015-01-13 10:00:00,48.1,48.1,2015-01-13,2015-01-13,,,,,,,,,,,
2015-01-13 11:00:00,46.95,46.95,2015-01-13,2015-01-13,,,,,,,,,,,
2015-01-13 12:00:00,46.04,46.04,2015-01-13,2015-01-13,,,,,,,,,,,
2015-01-13 13:00:00,43.38,43.38,2015-01-13,2015-01-13,,,,,,,,,,,
2015-01-13 14:00:00,36.48,36.48,2015-01-13,2015-01-13,,,,,,,,,,,
2015-01-13 15:00:00,33.05,33.05,2015-01-13,2015-01-13,,,,,,,,,,,
2015-01-13 16:00:00,34.13,34.13,2015-01-13,2015-01-13,,,,,,,,,,,
2015-01-13 17:00:00,43.03,43.03,2015-01-13,2015-01-13,,,,,,,,,,,
2015-01-13 18:00:00,49.22,49.22,2015-01-13,2015-01-13,,,,,,,,,,,
2015-01-13 19:00:00,46.38,46.38,2015-01-13,2015-01-13,,,,,,,,,,,
2015-01-13 20:00:00,42.44,42.44,2015-01-13,2015-01-13,,,,,,,,,,,
2015-01-13 21:00:00,33.36,33.36,2015-01-13,2015-01-13,,,,,,,,,,,
2015-01-13 22:00:00,33.97,33.97,2015-01-13,2015-01-13,,,,,,,,,,,
2015-01-13 23:00:00,31.39,31.39,2015-01-13,2015-01-13,,,,,,,,,,,
2015-01-14 00:00:00,34.58,34.58,2015-01-14,2015-01-13,,,,,,,,,,,
2015-01-14 01:00:00,29.67,29.67,2015-01-14,2015-01-13,,,,,,,,,,,
2015-01-14 02:00:00,27.49,27.49,2015-01-14,2015-01-13,,,,,,,,,,,
2015-01-14 03:00:00,21.3,21.3,2015-01-14,2015-01-13,,,,,,,,,,,
2015-01-14 04:00:00,15.59,15.59,2015-01-14,2015-01-13,,,,,,,,,,,
2015-01-14 05:00:00,18.9,18.9,2015-01-14,2015-01-13,,,,,,,,,,,
2015-01-14 06:00:00,34.78,34.78,2015-01-14,2015-01-14,,,,,,,,,,,
2015-01-14 07:00:00,48.0,48.0,2015-01-14,2015-01-14,,,,,,,,,,,
2015-01-14 08:00:00,47.79,47.79,2015-01-14,2015-01-14,,,,,,,,,,,
2015-01-14 09:00:00,48.14,48.14,2015-01-14,2015-01-14,,,,,,,,,,,
2015-01-14 10:00:00,45.5,45.5,2015-01-14,2015-01-14,,,,,,,,,,,
2015-01-14 11:00:00,45.03,45.03,2015-01-14,2015-01-14,,,,,,,,,,,
2015-01-14 12:00:00,45.5,45.5,2015-01-14,2015-01-14,,,,,,,,,,,
2015-01-14 13:00:00,40.81,40.81,2015-01-14,2015-01-14,,,,,,,,,,,
2015-01-14 14:00:00,42.04,42.04,2015-01-14,2015-01-14,,,,,,,,,,,
2015-01-14 15:00:00,38.94,38.94,2015-01-14,2015-01-14,,,,,,,,,,,
2015-01-14 16:00:00,41.15,41.15,2015-01-14,2015-01-14,,,,,,,,,,,
2015-01-14 17:00:00,48.93,48.93,2015-01-14,2015-01-14,,,,,,,,,,,
2015-01-14 18:00:00,50.99,50.99,2015-01-14,2015-01-14,,,,,,,,,,,
2015-01-14 19:00:00,50.94,50.94,2015-01-14,2015-01-14,,,,,,,,,,,
2015-01-14 20:00:00,44.99,44.99,2015-01-14,2015-01-14,,,,,,,,,,,
2015-01-14 21:00:00,38.62,38.62,2015-01-14,2015-01-14,,,,,,,,,,,
2015-01-14 22:00:00,39.54,39.54,2015-01-14,2015-01-14,,,,,,,,,,,
2015-01-14 23:00:00,38.92,38.92,2015-01-14,2015-01-14,,,,,,,,,,,
2015-01-15 00:00:00,30.44,30.44,2015-01-15,2015-01-14,,,,,,,,,,,
2015-01-15 01:00:00,24.91,24.91,2015-01-15,2015-01-14,,,,,,,,,,,
2015-01-15 02:00:00,22.67,22.67,2015-01-15,2015-01-14,,,,,,,,,,,
2015-01-15 03:00:00,16.87,16.87,2015-01-15,2015-01-14,,,,,,,,,,,
2015-01-15 04:00:00,15.43,15.43,2015-01-15,2015-01-14,,,,,,,,,,,
2015-01-15 05:00:00,16.05,16.05,2015-01-15,2015-01-14,,,,,,,,,,,
2015-01-15 06:00:00,32.33,32.33,2015-01-15,2015-01-15,,,,,,,,,,,
2015-01-15 07:00:00,48.62,48.62,2015-01-15,2015-01-15,,,,,,,,,,,
2015-01-15 08:00:00,49.01,49.01,2015-01-15,2015-01-15,,,,,,,,,,,
2015-01-15 09:00:00,47.58,47.58,2015-01-15,2015-01-15,,,,,,,,,,,
2015-01-15 10:00:00,45.94,45.94,2015-01-15,2015-01-15,,,,,,,,,,,
2015-01-15 11:00:00,46.54,46.54,2015-01-15,2015-01-15,,,,,,,,,,,
2015-01-15 12:00:00,45.46,45.46,2015-01-15,2015-01-15,,,,,,,,,,,
2015-01-15 13:00:00,42.94,42.94,2015-01-15,2015-01-15,,,,,,,,,,,
2015-01-15 14:00:00,38.18,38.18,2015-01-15,2015-01-15,,,,,,,,,,,
2015-01-15 15:00:00,35.54,35.54,2015-01-15,2015-01-15,,,,,,,,,,,
2015-01-15 16:00:00,35.68,35.68,2015-01-15,2015-01-15,,,,,,,,,,,
2015-01-15 17:00:00,41.66,41.66,2015-01-15,2015-01-15,,,,,,,,,,,
2015-01-15 18:00:00,50.45,50.45,2015-01-15,2015-01-15,,,,,,,,,,,
2015-01-15 19:00:00,49.47,49.47,2015-01-15,2015-01-15,,,,,,,,,,,
2015-01-15 20:00:00,42.98,42.98,2015-01-15,2015-01-15,,,,,,,,,,,
2015-01-15 21:00:00,35.42,35.42,2015-01-15,2015-01-15,,,,,,,,,,,
2015-01-15 22:00:00,35.49,35.49,2015-01-15,2015-01-15,,,,,,,,,,,
2015-01-15 23:00:00,34.75,34.75,2015-01-15,2015-01-15,,,,,,,,,,,
2015-01-16 00:00:00,35.95,35.95,2015-01-16,2015-01-15,,,,,,,,,,,
2015-01-16 01:00:00,30.86,30.86,2015-01-16,2015-01-15,,,,,,,,,,,
2015-01-16 02:00:00,29.47,29.47,2015-01-16,2015-01-15,,,,,,,,,,,
2015-01-16 03:00:00,24.74,24.74,2015-01-16,2015-01-15,,,,,,,,,,,
2015-01-16 04:00:00,22.95,22.95,2015-01-16,2015-01-15,,,,,,,,,,,
2015-01-16 05:00:00,29.58,29.58,2015-01-16,2015-01-15,,,,,,,,,,,
2015-01-16 06:00:00,39.73,39.73,2015-01-16,2015-01-16,,,,,,,,,,,
2015-01-16 07:00:00,49.49,49.49,2015-01-16,2015-01-16,,,,,,,,,,,
2015-01-16 08:00:00,50.71,50.71,2015-01-16,2015-01-16,,,,,,,,,,,
2015-01-16 09:00:00,48.98,48.98,2015-01-16,2015-01-16,,,,,,,,,,,
2015-01-16 10:00:00,50.54,50.54,2015-01-16,2015-01-16,,,,,,,,,,,
2015-01-16 11:00:00,49.76,49.76,2015-01-16,2015-01-16,,,,,,,,,,,
2015-01-16 12:00:00,48.43,48.43,2015-01-16,2015-01-16,,,,,,,,,,,
2015-01-16 13:00:00,46.17,46.17,2015-01-16,2015-01-16,,,,,,,,,,,
2015-01-16 14:00:00,44.99,44.99,2015-01-16,2015-01-16,,,,,,,,,,,
2015-01-16 15:00:00,44.05,44.05,2015-01-16,2015-01-16,,,,,,,,,,,
2015-01-16 16:00:00,47.1,47.1,2015-01-16,2015-01-16,,,,,,,,,,,
2015-01-16 17:00:00,52.49,52.49,2015-01-16,2015-01-16,,,,,,,,,,,
2015-01-16 18:00:00,53.54,53.54,2015-01-16,2015-01-16,,,,,,,,,,,
2015-01-16 19:00:00,48.02,48.02,2015-01-16,2015-01-16,,,,,,,,,,,
2015-01-16 20:00:00,41.51,41.51,2015-01-16,2015-01-16,,,,,,,,,,,
2015-01-16 21:00:00,37.92,37.92,2015-01-16,2015-01-16,,,,,,,,,,,
2015-01-16 22:00:00,40.64,40.64,2015-01-16,2015-01-16,,,,,,,,,,,
2015-01-16 23:00:00,43.18,43.18,2015-01-16,2015-01-16,,,,,,,,,,,
2015-01-17 00:00:00,36.54,36.54,2015-01-17,2015-01-16,,,,,,,,,,,
2015-01-17 01:00:00,33.17,33.17,2015-01-17,2015-01-16,,,,,,,,,,,
2015-01-17 02:00:00,32.26,32.26,2015-01-17,2015-01-16,,,,,,,,,,,
2015-01-17 03:00:00,27.92,27.92,2015-01-17,2015-01-16,,,,,,,,,,,
2015-01-17 04:00:00,27.05,27.05,2015-01-17,2015-01-16,,,,,,,,,,,
2015-01-17 05:00:00,27.24,27.24,2015-01-17,2015-01-16,,,,,,,,,,,
2015-01-17 06:00:00,27.41,27.41,2015-01-17,2015-01-17,,,,,,,,,,,
2015-01-17 07:00:00,33.17,33.17,2015-01-17,2015-01-17,,,,,,,,,,,
2015-01-17 08:00:00,41.99,41.99,2015-01-17,2015-01-17,,,,,,,,,,,
2015-01-17 09:00:00,47.44,47.44,2015-01-17,2015-01-17,,,,,,,,,,,
2015-01-17 10:00:00,46.57,46.57,2015-01-17,2015-01-17,,,,,,,,,,,
2015-01-17 11:00:00,43.39,43.39,2015-01-17,2015-01-17,,,,,,,,,,,
2015-01-17 12:00:00,43.0,43.0,2015-01-17,2015-01-17,,,,,,,,,,,
2015-01-17 13:00:00,38.08,38.08,2015-01-17,2015-01-17,,,,,,,,,,,
